"Name","K","Kin","Kout","TypeI","TypeII"
"ABL1",7,4,3,0,1
"BCCIP",5,3,2,0,1
"NOS3",9,4,5,0,1
"ACTL6A",11,9,2,0,1
"ACTR2",5,3,2,0,1
"CNTNAP2",3,1,2,0,1
"DLG4",11,7,4,0,1
"ADAMTS19",3,2,1,0,1
"LTB4R",2,1,1,0,1
"AGO4",9,4,5,0,1
"AGRN",7,5,2,0,1
"BAX",7,4,3,0,1
"EPRS",19,11,8,0,1
"HSPA4",19,9,10,0,1
"KARS",12,9,3,0,1
"IQGAP1",15,5,10,0,1
"AKAP13",4,1,3,0,1
"SPA17",3,2,1,0,1
"RYR1",19,11,8,0,1
"RYR2",13,8,5,0,1
"FGG",11,9,2,0,1
"ALDOA",10,8,2,0,1
"TIE1",4,2,2,0,1
"ANK2",5,3,2,0,1
"BUB1",112,41,71,0,1
"CCNA2",127,34,93,0,1
"CDCA8",100,73,27,0,1
"CDKN3",63,33,30,0,1
"ECT2",49,38,11,0,1
"NEK2",78,47,31,0,1
"TTK",116,77,39,0,1
"TYMS",72,37,35,0,1
"CD34",16,7,9,0,1
"FCGR1A",14,9,5,0,1
"CD28",14,5,9,0,1
"AP1G2",3,2,1,0,1
"AP1S1",3,2,1,0,1
"FEN1",43,22,21,0,1
"LIG1",26,9,17,0,1
"RPA2",29,21,8,0,1
"APOB",13,2,11,0,1
"UNC45B",4,2,2,0,1
"APOE",3,1,2,0,1
"TOMM40",13,9,4,0,1
"PLIN1",2,1,1,0,1
"AR",7,3,4,0,1
"TMPRSS2",4,2,2,0,1
"KIF2C",85,60,25,0,1
"MYLK",14,6,8,0,1
"NRAS",20,12,8,0,1
"CHD3",7,6,1,0,1
"ARMC3",4,1,3,0,1
"CCDC96",4,1,3,0,1
"MORN5",7,6,1,0,1
"AURKB",57,28,29,0,1
"CDC20",73,54,19,0,1
"CENPA",68,35,33,0,1
"PCNA",52,39,13,0,1
"ASPN",3,2,1,0,1
"RRM2",67,32,35,0,1
"RAD52",10,8,2,0,1
"REV3L",8,4,4,0,1
"HIST2H2AC",20,6,14,0,1
"ATP6V1B1",2,1,1,0,1
"CACNA1S",18,10,8,0,1
"TNNC2",22,14,8,0,1
"ATP5C1",23,16,7,0,1
"ATP5F1",23,15,8,0,1
"HSP90AB1",19,14,5,0,1
"USMG5",24,14,10,0,1
"ATP5I",40,18,22,0,1
"COX7A2",27,18,9,0,1
"ROMO1",15,11,4,0,1
"CCNB1",73,8,65,0,1
"PRIM1",61,36,25,0,1
"UBE2C",53,33,20,0,1
"RNF2",7,4,3,0,1
"GCNT2",5,3,2,0,1
"UBA52",53,31,22,0,1
"BBS1",4,1,3,0,1
"LEPR",4,2,2,0,1
"WDR19",6,3,3,0,1
"NFASC",7,6,1,0,1
"BCAS2",10,6,4,0,1
"MAGOH",18,9,9,0,1
"H2AFX",5,4,1,0,1
"BDP1",5,3,2,0,1
"MAP3K5",14,5,9,0,1
"TLR4",35,21,14,0,1
"XRCC5",8,6,2,0,1
"PTPN6",18,13,5,0,1
"SYK",27,16,11,0,1
"EIF2S2",10,8,2,0,1
"RPF2",45,37,8,0,1
"HLA-E",27,18,9,0,1
"CASC5",36,22,14,0,1
"CENPI",21,16,5,0,1
"DCAF13",31,12,19,0,1
"DKC1",37,22,15,0,1
"POLR1C",25,15,10,0,1
"ITGB2",32,27,5,0,1
"C1QB",18,9,9,0,1
"CTSS",14,4,10,0,1
"CCT7",31,3,28,0,1
"C6orf203",2,1,1,0,1
"CACNA1G",6,4,2,0,1
"GNG2",14,5,9,0,1
"PRKG1",7,4,3,0,1
"CACNA1H",8,3,5,0,1
"CACNA2D1",9,5,4,0,1
"CAV3",22,10,12,0,1
"STXBP1",7,3,4,0,1
"MYL1",31,11,20,0,1
"GRIN2A",4,3,1,0,1
"CACNG8",4,2,2,0,1
"GRIP1",5,3,2,0,1
"HSPA5",10,4,6,0,1
"PDIA6",9,6,3,0,1
"CARD11",2,1,1,0,1
"LDB3",19,13,6,0,1
"CAV1",27,14,13,0,1
"FN1",27,18,9,0,1
"PHC3",3,2,1,0,1
"CFAP69",5,2,3,0,1
"NIP7",28,3,25,0,1
"CCR1",17,5,12,0,1
"CXCL10",33,14,19,0,1
"CXCR1",8,4,4,0,1
"TNFAIP6",4,1,3,0,1
"VCAM1",9,4,5,0,1
"RCC1",7,4,3,0,1
"CDT1",29,11,18,0,1
"CCT2",29,8,21,0,1
"TUBA1B",8,6,2,0,1
"PFDN2",8,5,3,0,1
"RUVBL1",21,10,11,0,1
"NHP2",38,10,28,0,1
"FCGR3A",33,18,15,0,1
"IDO1",10,8,2,0,1
"ITGA11",14,7,7,0,1
"IL15",18,6,12,0,1
"IL1B",37,9,28,0,1
"IL2RG",13,6,7,0,1
"KLRD1",8,7,1,0,1
"SELP",9,3,6,0,1
"TLR7",15,12,3,0,1
"INPP5D",13,9,4,0,1
"POLD1",27,23,4,0,1
"CLDN7",10,5,5,0,1
"EZR",7,3,4,0,1
"F11R",12,6,6,0,1
"KRT19",8,6,2,0,1
"OCLN",16,5,11,0,1
"CDK6",3,1,2,0,1
"CDKL5",8,5,3,0,1
"NHS",3,2,1,0,1
"TPM2",21,15,6,0,1
"MARVELD2",7,2,5,0,1
"SCG3",3,1,2,0,1
"CHML",8,4,4,0,1
"HFE2",4,2,2,0,1
"CSPG4",13,8,5,0,1
"VCAN",8,2,6,0,1
"CLIC4",2,1,1,0,1
"CNTNAP1",4,1,3,0,1
"COA3",2,1,1,0,1
"COL2A1",6,4,2,0,1
"UQCRFS1",2,1,1,0,1
"NCBP2",12,8,4,0,1
"PARD6B",6,3,3,0,1
"MAGEA3",4,2,2,0,1
"CSTF2",2,1,1,0,1
"CTAG1A",3,2,1,0,1
"HSPG2",11,10,1,0,1
"KCND2",4,2,2,0,1
"CXCL3",9,4,5,0,1
"SH3PXD2A",3,2,1,0,1
"CYP2A6",3,1,2,0,1
"GSTA1",6,5,1,0,1
"TNMD",4,3,1,0,1
"RPS16",41,4,37,0,1
"PUS1",7,6,1,0,1
"WIF1",3,1,2,0,1
"NOTCH4",7,5,2,0,1
"MSX2",2,1,1,0,1
"DNAH5",8,2,6,0,1
"RSPH1",6,3,3,0,1
"NME1-NME2",7,6,1,0,1
"PKM",12,3,9,0,1
"RUNX1",3,1,2,0,1
"EML4",3,1,2,0,1
"HK2",11,3,8,0,1
"ENTPD3",3,1,2,0,1
"SPINT2",6,3,3,0,1
"PALLD",2,1,1,0,1
"PLXNB1",4,2,2,0,1
"PDIA3",9,5,4,0,1
"ESPN",3,2,1,0,1
"ZFC3H1",6,4,2,0,1
"F10",4,3,1,0,1
"PRPF31",12,4,8,0,1
"FCER1G",20,4,16,0,1
"KIT",12,4,8,0,1
"IGF1",13,5,8,0,1
"KL",7,5,2,0,1
"FLNC",12,4,8,0,1
"FMOD",3,2,1,0,1
"FOXA1",6,1,5,0,1
"HNF4A",6,3,3,0,1
"FOXO1",8,3,5,0,1
"FRAS1",4,2,2,0,1
"FZD2",4,3,1,0,1
"GAPDH",13,1,12,0,1
"GDI2",3,1,2,0,1
"RET",2,1,1,0,1
"GJB3",2,1,1,0,1
"GJB4",2,1,1,0,1
"GNAI3",3,2,1,0,1
"GNAS",4,3,1,0,1
"GNG7",2,1,1,0,1
"GNG3",2,1,1,0,1
"NEDD4L",2,1,1,0,1
"RAB25",4,3,1,0,1
"IRF6",3,2,1,0,1
"PDE9A",5,1,4,0,1
"KAT2B",13,5,8,0,1
"HENMT1",2,1,1,0,1
"JAG1",3,1,2,0,1
"HIST1H2BK",6,2,4,0,1
"HIST1H2AD",10,1,9,0,1
"HIST1H2BF",8,2,6,0,1
"HIST1H2AI",16,1,15,0,1
"PRKAA1",4,2,2,0,1
"HPGDS",2,1,1,0,1
"HSP90AA1",13,7,6,0,1
"HSPA12B",2,1,1,0,1
"MRPL57",17,4,13,0,1
"IL19",2,1,1,0,1
"LIF",10,2,8,0,1
"RAB27A",5,4,1,0,1
"PPP1R12A",9,8,1,0,1
"MEF2C",10,6,4,0,1
"UTRN",6,3,3,0,1
"ITGA10",4,1,3,0,1
"ITPR1",12,2,10,0,1
"PNPLA7",4,3,1,0,1
"KCNA4",4,1,3,0,1
"KDM6A",6,3,3,0,1
"NRP2",5,3,2,0,1
"NPHS1",3,2,1,0,1
"THRB",3,1,2,0,1
"LCAT",3,1,2,0,1
"TNS1",6,1,5,0,1
"SYNE2",4,2,2,0,1
"MC4R",2,1,1,0,1
"THY1",4,2,2,0,1
"NME1",6,2,4,0,1
"MKLN1",3,2,1,0,1
"TIMP2",5,1,4,0,1
"WDR90",4,2,2,0,1
"RPL38",37,6,31,0,1
"NAP1L2",2,1,1,0,1
"PAX9",2,1,1,0,1
"SUMO1",5,3,2,0,1
"PCSK9",2,1,1,0,1
"P4HB",4,1,3,0,1
"PRDX4",2,1,1,0,1
"POLR2I",8,1,7,0,1
"RIMKLB",2,1,1,0,1
"TALDO1",6,2,4,0,1
"PIGM",2,1,1,0,1
"PSMD4",12,6,6,0,1
"STX16",2,1,1,0,1
"RANGAP1",2,1,1,0,1
"RBM24",2,1,1,0,1
"SLIT3",2,1,1,0,1
"TRMT12",3,2,1,0,1
"SCGB1A1",3,1,2,0,1
"VIPR2",2,1,1,0,1
"SGPP2",4,2,2,0,1
"TAC1",2,1,1,0,1
"ZNHIT2",3,1,2,0,1
"TUBG1",2,1,1,0,1
"UTS2R",2,1,1,0,1
"WNT10B",3,2,1,0,1
"WNT7A",2,1,1,0,1
